lock_day,locked_users,touch_mean,ttl_days_mean,daily_locked_users,seed_ratio
2025-01-24,84,1.5119047619047619,8.80952380952381,86,0.9767441860465116
2025-01-25,114,1.4649122807017543,9.368421052631579,122,0.9344262295081968
2025-01-26,80,1.25,15.1,83,0.963855421686747
2025-01-27,48,1.6041666666666667,9.0,48,1.0
2025-01-28,11,1.4545454545454546,26.727272727272727,11,1.0
2025-01-29,10,2.0,12.2,10,1.0
2025-01-30,9,1.3333333333333333,3.3333333333333335,9,1.0
2025-01-31,20,1.15,13.7,19,1.0526315789473684
2025-02-01,28,1.4642857142857142,9.678571428571429,28,1.0
2025-02-02,41,1.5853658536585367,9.585365853658537,41,1.0
2025-02-03,64,1.609375,10.046875,65,0.9846153846153847
2025-02-04,64,1.28125,14.65625,66,0.9696969696969697
2025-02-05,72,1.3472222222222223,17.291666666666668,78,0.9230769230769231
2025-02-06,84,1.6666666666666667,10.785714285714286,88,0.9545454545454546
2025-02-07,81,1.4567901234567902,5.012345679012346,80,1.0125
2025-02-08,115,1.4,9.721739130434782,120,0.9583333333333334
2025-02-09,211,1.7251184834123223,12.251184834123222,213,0.9906103286384976
2025-02-10,121,1.421487603305785,6.8264462809917354,123,0.983739837398374
2025-02-11,108,1.7037037037037037,5.7407407407407405,112,0.9642857142857143
2025-02-12,105,1.5238095238095237,9.542857142857143,110,0.9545454545454546
2025-02-13,87,1.839080459770115,12.620689655172415,89,0.9775280898876404
2025-02-14,86,1.4651162790697674,25.74418604651163,92,0.9347826086956522
2025-02-15,221,1.3665158371040724,16.773755656108598,230,0.9608695652173913
2025-02-16,233,1.4592274678111588,6.07725321888412,237,0.9831223628691983
2025-02-17,103,1.6504854368932038,11.446601941747574,106,0.9716981132075472
2025-02-18,122,1.4672131147540983,6.491803278688525,126,0.9682539682539683
2025-02-19,109,1.4770642201834863,7.935779816513762,113,0.9646017699115044
2025-02-20,99,1.3333333333333333,4.565656565656566,103,0.9611650485436893
2025-02-21,90,1.7666666666666666,4.444444444444445,94,0.9574468085106383
2025-02-22,247,1.5587044534412955,13.68825910931174,257,0.9610894941634242
2025-02-23,271,1.5129151291512914,12.158671586715867,278,0.9748201438848921
2025-02-24,116,1.6293103448275863,8.301724137931034,121,0.9586776859504132
2025-02-25,121,1.3884297520661157,8.537190082644628,125,0.968
2025-02-26,152,1.4671052631578947,10.506578947368421,156,0.9743589743589743
2025-02-27,133,1.4962406015037595,12.924812030075188,148,0.8986486486486487
2025-02-28,160,1.7,9.70625,168,0.9523809523809523
2025-03-01,427,2.070257611241218,21.618266978922716,449,0.9510022271714922
2025-03-02,229,1.5982532751091703,13.397379912663755,237,0.9662447257383966
2025-03-03,124,1.5241935483870968,14.685483870967742,128,0.96875
2025-03-04,112,1.6607142857142858,6.544642857142857,121,0.9256198347107438
2025-03-05,97,1.6082474226804124,10.422680412371134,104,0.9326923076923077
2025-03-06,99,1.7676767676767677,10.292929292929292,102,0.9705882352941176
2025-03-07,92,1.608695652173913,12.130434782608695,101,0.9108910891089109
2025-03-08,315,1.5682539682539682,10.320634920634921,321,0.9813084112149533
